Домашняя работа 2: Часть 2 (Вариант 23),Запишите в данный столбец окончательный ответ,Запишите в данный столбец ОБЪЯСНЕНИЕ,,,,,,
Ваша фамилия в именительном падеже:,Чан,,,,,,,
Ваше имя в именительном падеже:,Хоанг,,,,,,, 
Задайте перечислением множества,,,,,,,,
Х – буквы фамилии,"{Ч,А,Н}",,,,,,,
Y – буквы имени,"{Х,О,А,Н,Г}",,,,,,,
Число всех  отображений  Х  в Y,125,"должны разместить все элементы множества Х в любые элементы множества У, порядок важен и можно есть повторяние элементов множества Y. Каждый эдемент из множества X можешь объединиться с n элементами множества Y, поэтому число всех  отображений  Х  в Y = n^m = 5^3 = 125",,,,,,
Число всех биекций  Y  на себя,120,5!,,,,,,
Число всех инъекций из  Х  в Y (m ≤ n)  или из Y в Х  (m ≥n),1023,"инъективное соответсвие не обязательно будет сюръективным или всюду орпеделенным но надо не содержит пар с одинаковыми вторыми и различными первыми координатами, поэтому можем выбрать 1, 2, 3, 4, 5 элементов из Y потом выбрать 1 элемент из X чтобы образовать пару. каждый элемет из Y можешь  объединиться с 3 элементами из X и элементы из X могут с поторениями, поэтому у нас есть форма : С15 . 3+C25 . 32 + C35.339+C45.34+C55.35 = 1023     ",,,,,,
Число всех подмножеств множества Y,32,число всех подмножеств множества Y равно число булеана множества Y поэтому равно 2^5,,,,,,
Число всех к-элементных подмножеств множества Y,31,"Число всех к-элементных подмножеств множества Y является суммой числа 1,2,3,4,5-элементных подмножеств множества Y = С15+С25+С35+С45+С55 = 31",,,,,,
Число элементов прямого произведения  Х×Y,15,"X x Y = {(x,y): x ∈ X и y ∈ Y}, каждый элемент множества X может объединиться с 5 элементами множества Y чтобы образовать пару (x,y), поэтому число элементов прямого произведения  Х×Y = m x n = 15",,,,,,
