,,
Tаблица 1,,
Домашняя работа 1: Часть 2,Запишите в данный столбец окончательный ответ,Запишите в данный столбец ОБЪЯСНЕНИЕ
Задайте перечислением множества,,
Х - множество гласных букв имени,"{О,А}",
У - множество согласных букв фамилии,"{Ч,Н,В}",
"G - множество пар (x,y)","{(О,Ч),(О,Н),(О,В),(А,Ч),(А,Н),(А,В)",
Запишите область определения соответствия,"{О,А}",
Запишите область значений соответствия,"{Ч,Н,В}",
Является ли соответствие всюду определенным?,да,тк D=X
Является ли соответствие сюръекцией?,да,тк R=Y
Является ли соответствие функцией?,нет,"тк существует (О,Ч) и (О,Н) такие,что y1 не равно y2"
Является ли соответствие ИНъекцией?,нет,"тк существует (О,Ч) и (А,Ч) такие, что x1 не равно x2"
Является ли соответствие отображением Х в У?,нет,тк не функция
Является ли соответствие отображением Х на У ?,нет,тк не функция
Является ли соответствие взаимно однозначным?,нет,тк не функция
Является ли соответствие БИекцией?,нет,тк не функция
